,ProductName,Platform,SellerName,SuperCategory,SubCategory,Last 30Day GMV,rankOverall,rankPP,rankDP,rankBijExp,rankSeller,variantid,App_Image,App_Deeplink,Price_Range,IsBijnisExpress,Avg_Price,VariantSize,Color
3488,COMBIT 1955,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,793.0,721.0,,648.0,,138.0,1892284,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-b8ed1eb4-dd82-4b38-bf3e-02ca20df2118.jpeg,https://bijnis.app.link/oVbKVrraOJb,215 - 237,No,226.15," 8,7",White
3489,COMBIT 2112,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,1575.0,640.0,,568.0,,113.0,1958460,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-22dc79d6-c288-4944-9814-e02e7654f8da.jpeg,https://bijnis.app.link/JJvjIgpXNJb,254 - 281,No,267.88," 10, 9,8",White
3490,COMBIT 2163,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,1655.0,633.0,,561.0,,110.0,2354069,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-aa4ff332-e5cb-4a72-9109-8b56b9690fb5.jpeg,https://bijnis.app.link/EmHyTVU8NJb,274 - 302,No,288.07," 12, 13,11,12",Brown
3491,COMBIT 2271,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SPORTS SHOES,1190.0,791.0,,691.0,,123.0,2248116,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-47a77a6a-19a7-4f32-bce0-03f5120793c5.jpeg,https://bijnis.app.link/Ki5OFUc8NJb,352 - 389,No,370.19," 5, 6, 7, 8, 9,4,5,6",White
3492,COMBIT 2356,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,22811.0,130.0,,89.0,,3.0,2124820,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-8b27fad7-ae5b-45e5-800c-7ad55964b076.jpeg,https://bijnis.app.link/jzI3V4YYNJb,155 - 171,No,162.88," 12, 13,11,13",Black
3493,COMBIT 2357,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,764.0,726.0,,653.0,,140.0,2124834,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-b5553c3e-82c4-459f-828f-e5949d09740a.jpeg,https://bijnis.app.link/iUXTXaO8NJb,201 - 222,No,211.34,9,Black
3494,COMBIT 2361,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,1778.0,616.0,,545.0,,105.0,2354070,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-13c5f8aa-7068-485d-999c-ddf58a92016e.jpeg,https://bijnis.app.link/bwHdOB48NJb,294 - 325,No,309.61," 2, 3,1",Brown
3495,COMBIT 2362,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,7568.0,324.0,,262.0,,39.0,2124928,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-54ef926f-74cf-450c-abbf-068bd2b9e75c.jpeg,https://bijnis.app.link/HAYJuB87NJb,313 - 346,No,329.8," 5, 6,4,5",White
3496,COMBIT 2404,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,1790.0,615.0,,544.0,,104.0,2151173,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-3fbacf39-960b-4258-a812-ab0869df69e9.jpeg,https://bijnis.app.link/tAnpYIhAcKb,155 - 171,No,162.88," 10, 9,8",Black
3497,COMBIT 2421,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,25208.0,119.0,,80.0,,2.0,2153875,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-94c98fe4-2eae-4028-9943-c5d93f5b5c42.jpeg,https://bijnis.app.link/btrsw4WXNJb,234 - 259,No,246.34," 10, 8, 9,7",Black
